,Review
0,"I loved the cop working with the killer. He's playing both side trying to save himself and stop the killer. And the added element of the endless day light was another great ingredient.Pacino as usual gives an outstanding performance. He made me tired just watching him. He did great at his progression of looking more and more tired. And he does these little things you don't normally see actors do. I don't know if I can explain it. But he seems comfortable to the point that he's outside the box and it adds reality.Hilary Swank was great as the young doe eyed cop. She had that look of enthusiasm and optimism in her eyes. And the way that she always looked at Pacino. She was starting out and he was ending. You can see it in both of their faces.Robin Williams was a different but great choice. He's obviously a good actor, we've known that. But we've never seen him like this before. He has some kind of sadness in his face and voice. Something that evokes your sympathy. You didn't want to believe the he was a killer and wanted to believe his story that the murder wasn't his fault. But then his calm passivity becomes creepy and scary. You know what he did the whole time and the fact that he's this calm about it makes him scary.This has two of the best/inventive chases I've ever seen. The foggy beach and the logs in the water. Not only does it utilize the area but it's different. Chasing someone in the fog where you can't see a thing and the killer could be right in front of you is good suspense. And on the beach with big rocks so you have to keep looking where you're going.The logs in the water is everything dangerous: fast, always moving, with the threat of drowning and the ground is unstable. When he falls in the sound was very good at conveying the power of the crashing logs.This was also a good remake. They took the story, made it their own and Americanized it. I hate it when a remake doesn't add anything new. If you're going to make it in a different country, make it in a different country. Don't do what ""The Girl With the Dragon Tattoo"" did. The Norwegian one is very good and worth watching.You know you're a good director when this is your least good movie. Of course at the time this was from the guy that did ""Memento."" We had no idea what the future held for this great director's career. His talent is evident here. Any director could have made this movie but he really added those extra touches to make it stand out"
1,"Since the release of ""Memento"" (which I honestly haven't seen yet) Christopher Nolan has become a rising star in the world of film directing. And he finally shined with both ""Batman Begins"" and ""The Dark Knight"" which revitalized the Batman character and established it as the most popular and even putting him above Spider-man. The fact is, Nolan is among the greatest film-makers in the world and he is going to keep making new classics for the years to come, and I'm already looking forward to ""Inception"" in 2010. In 2002, he directed a remake of the Norweigian film of the same name called ""Insomnia"", and I gotta say, it's the best psychological thriller I've ever seen and it even surpasses ""The Silence of the Lambs"" big time.The premise-A highly known and highly accomplished Los Angeles detective named Will Dormer (Al Pacino) is sent to a town in Alaska to solve a murder case involving a 17 year old girl. But his partner Hap, just revealed to him that he's planning on testifying against him because he knows about Dormer planting evidence to gain a conviction on a previous case. And all that guilt, fear and the midnight sun that is constantly shining sends Dormer a whole week of no sleep (insomnia). And Dormer starts to lose his concentration and his reasoning. Al Pacino has been known for dominating every movie he's in and stealing the show from the other actors and he totally does that in here. And it also seems that he was perfectly cast in here because he has the look of a guy who hasn't slept in days. And that might be due to his facial appearance with the dark circles under his eyes and his wrinkled face and he even looks tired the moment he gets off the plane at the beginning. And the more days that pass, he looks more and more fatigued. And I wonder if Pacino really kept himself awake during filming or if he's really that good as a method actor. Although fatigue is the main emotion that he demonstrates here, his feeling of guilt is masterfully shown after he accidentally kills his partner in the thick fog while they're chasing the killer. And we, as the audience wonder if it was really a mistake, or if he shot him on purpose to shut his partner up and prevent his testimony. And Dormer even does some extreme measures to cover up what really happened. At the end, the question is never answered and we're left wondering about his morality and how ethical of a cop he really is. And also the scene when he confronts the victim's boyfriend (whose a smart-mouth, always doing his ""f**k the world act"") and he really shuts him up. I personally thought that was pretty darn cool and he really fits into the mind of Will Dormer and gives one of his finest performances ever.Robin Williams, who plays as the girl's killer, is known for doing comedy roles and he should start listening to everyone's advice and stick to doing dramatic or serious roles, because he is WAY better when he's doing the kind of acting he does in ""Insomnia"". He actually doesn't start showing his face until about half-way through the movie and spends the first half either hiding his face or giving sinister, yet strangely non-threatening phone calls to Dormer. And it turns out that he saw Dormer shoot his partner and spends the rest of the movie blackmailing him and forces him to pin the murder of the girl on someone else. Hilary Swank gives perhaps the 2nd best acting performance and once again, Nolan casted her perfectly as the detective who idolizes Dormer. I guess it has to do something with the way Swank's mannerisms are like. And she's totally believable as the character who looks up to Dormer and she seems like she wants to impress him all the time. And she cuts Dormer some slack even though he gives a vague explanation for an incident involving an officers death. Having a trio of former Oscar winners really helped the film here, and also was the masterful direction of Nolan, he makes the scenery of Alaska somewhat peaceful, yet disturbing. And as all psychological thrillers go...u have to keep the suspense and tension going though the whole move....otherwise, what's the point? At first, you can feel the tension between Dormer and his partner, and then between Dormer and the killer. This is simply the best psycho-thriller I've ever seen, and if you think that ""The Silence of the Lambs"" was something, wait 'till you see this!"
2,"Al Pacino is an L.A. cop who's come to Alaska with his partner to investigate a brutal homicide. Hilary Swank is the Alaskan detective who admires his work and methods. Robin Williams is the killer they're hunting down. (All three are Oscar winners by the way, and deliver performances that are definitely worthy of an Oscar.) Throughout the film, Pacino's character's mind wreaks havoc; the Alaskan town is so far up north, they get ""white nights"" (I.e. the sun doesn't set for half the year). As a result, he cannot sleep.With ""Insomnia"", Christopher Nolan joins my list of directors I admire. ""Insomnia"" owes much of its stunning success to the directorial choices Nolan makes. The most difficult task of the movie is this: how exactly can you show the audience Pacino's increasingly disoriented, sleepless mind-frame, without boring them? I think Nolan handles this expertly.The cast deliver stellar performances, in particular Robin Williams. His character is undoubtedly psychotic. What a temptation for Williams to steal the show with a display of angry shouting, of pure psychopathic hostility, of maniacal laughter! But no. He avoids this and goes for a far different touch. His character talks of extremely disturbing things in a very calm, matter-of-fact way, making his performance far more bone-chilling. As much as I love Williams' comic roles, I have to admit he's practically unrivalled in ""serious"" acting.Another thought: although this is a film I like to consider a thriller, it is very much like a film noir as well. Personally, I love the plots of film noirs, but I can't stand the relentless usage of shadows and dark lighting. ""Insomnia"" shatters these guidelines. It is a very dark film with lots and lots of light. The effect is interesting to say the least.This film is a thriller, and consequently, I'm choosing my words carefully in order to spoil as little of the film as possible. I highly recommend seeing this film— I was blown away. ""Insomnia"" is also very deep, powerfully invoking themes of guilt and restlessness. I do not regret buying this film: I confidently call it a great movie.Note: Apparently, ""Insomnia"" is a remake of a 1997 Norwegian film starring Stellan Skarsgård. I haven't seen it, but if it was anything close to as good as this film, whoever does see it is in for a real treat!"
3,... just how people can give a film luke this 1/10. I mean... the dross that is churned out by Hollywood on a yearly.basis... this comes along and has such a mixed following. Acting perfect with Pacino giving one his best performances. Williams is perfect as the murderer and Swamp although not a major character is fine. The shooting is class as is the stunning soundtrack. A work of art that will over more time be appreciated
4,"This 2002 film directed by Christopher Nolan is an underrated gem. Its setting, and cinematography feed into its isolation. A film about guilt, right or wrong, action and intent, and moral compromise. This film is edited well, along Christoper Nolan directing into a great way. Pacino gives a standout performance, and so does Robin Willams. Doorman's history of manipulating evidence based off his own personal opinion clouds his consciousness. His then accidental killing of his partner, furthers that, as he struggles with his distinction of action and intent. He then begins to suffer from Insomnia. While Finch claims to also suffer from it, as he proclaims to accidentally killing the girl. Finch witnessed Doorman kill his partner, and so they are forged to ""work together"". And you dont know who to trust. In the end Doorman does the right thing, and dies in the process. He tells Elllie that she can ruin his reputation, as he is released from his Insomnia and can finally sleep This visually stunning and edge of your seat psychological thriller is a gem. Nolan does it again. Atmospheric, brillant, tightly woven, detailed, and perfect. Alaska: stays light outside for the entire day for 5 months, ""Days never end"""
5,"When you have three Academy Award Winners in one picture, it's destined to be terrific or downright terrible. This movie is terrific. The funny thing is I didn't realize how good it was until about four years later. Time has a way of blurring your memory and mine is more blurred than most. You can't forget this one however because it sticks in your head and won't come out. The cinematography is superb and the lines are, in several places, quite unique and memorable. I will always remember at the end, feeling Dormer's (Pacino) insomnia. Literally feeling it. And obviously, I've been there. I once went eight whole days without a night's sleep. Don't ask me how, but I did. And after that much sleeplessness, it begins to mess with you. I have only seen about ten minutes of the original film on which this film is based, not because I got bored and turned it off, but because I didn't realize what I was watching. If I had, I most certainly would have watched the whole thing. Robin Williams was an illogical but certainly credible, deserved, and welcome addition to this film, and anyone who says he plays something other than what he actually plays didn't pay close attention. He is always good for an unexpected performance. Do yourself a favor, study this film. Really study it. A true work of art if there ever was one on film."
6,"Whenever Al Pacino appears in a film you can just bet the film is going to be a complete knock out punch for the viewers. In this picture, Al Pacino (Detective Will Dormer,),""Any Given Sunday"",'99, plays a very successful cop who has a very keen sense in a crime situation and can almost smell the criminal. When Det. Dormer questions a suspect he looks right through them and his questions turn them into pure Butter. Hilary Swank,(Det. Ellie Burr),""The Core"",'03, simply had the hots for Will Dormer and adored his great history of solving crimes over the many years. Robin Williams, (Walter Finch),""One Hour Photo"",'02, gave an outstanding supporting role, who played a real weird character who wanted to work out a deal with Will Dormer to solve his problems and Will's. The moral to this story is that the Truth is the only path to follow in any situation in LIFE."
7,"Knowing that Al Pacino and Robin Williams co-star in Christopher Nolan's ""Insomnia"", we would probably expect Pacino to play an evil antagonist and Williams a wacky protagonist. But it's not like that. It's not the opposite, either. The description of the movie's plot needs to be a long one.Pacino plays LA detective Will Dormer, under investigation by internal affairs for misconduct. That's when the sleep-deprived Dormer - note the irony in his surname - gets sent to Alaska to catch a killer in a small town. Upon arriving, Dormer quickly learns that in Alaska during the summer, the sun never sets. Already beginning to lose his mind due to events back home, Dormer falls apart further as he unsuccessfully tries to cover up the sunlight in his hotel room. Probably the best representation of his mental breakdown is what he does with the floorboard.But the hitherto events are nothing compared to what follows. While investigating a crime scene, Dormer kills a partner. Not only does he have this on his consciousness, but he gets a call from Walter Finch (Robin Williams), the man whom he is supposed to catch. Finch knows what Dormer did. Almost all events from henceforth will serve to show Dormer's breakdown and how Finch can use it against him.I don't know whether I would call ""Insomnia"" an absolutely perfect movie, but it's pretty close. One of the most effective scenes - at least in my view - is Dormer running through the empty street in the middle of the night, which of course looks like it could be midday. This potentially friendly small town has turned into the cruelest of settings for Dormer. No character is really a hero or villain; everyone seems to be a little bit of both. Equally as good as Pacino and Williams is Hilary Swank as Ellie Burr, a detective participating in the investigation. Seemingly a nice young woman, even she might have a few skeletons in her closet.All in all, I certainly recommend this movie. Christopher Nolan brought to it the same intensity that he instilled in ""Memento"", and showed the sorts of tricks that he would later bring to ""Batman Begins"". Above all, it was part of what I called Robin Williams's comeback in 2002: aside from his comedy tour (which I saw when he came to Portland), he played sinister roles in ""Death to Smoochy"", ""Insomnia"" and ""One Hour Photo"", so as to make up for the excessively maudlin ""Jakob the Liar"" and ""Bicentennial Man"".So the next time that the sun doesn't set, just be careful..."
8,"Superb performance from Al pachino late Robin Williams, Martin and Hillary Swank.. this film is Nolan's most underrated film.. I often watch this crime drama At least twice a year... The soundtrack is so great and adds to the insomniac theme of film.. the editing choice is too great.. at times I felt like incomprehensible like I feel the characters in movie... Even without time complexity, Nolan can deliver straight up crime thriller with such conviction and talent.. for me it's 10/10."
9,"Insomnia is a terrific thriller with a really smart idea of a bleak mystery and spiral into corruption set against constant daylight that prevents anything being hidden. It's definitely one of the best remakes of a European film that's a lot less bleak than the original whilst still bringing plenty of moral greys.Al Pacino and Robin Williams are the pillars of this film and both play against type to great effect. Al Pacino has a few well placed moments of his loud rage but for the most part remains increasingly tired whilst still clearly giving it all. Robin Williams dials down the manic energy completely for a much quieter and unnerving performance.Christopher Nolan's direction is really impressive, going from micro to mid budget pretty flawlessly a way few filmmakers get the chance to these days. It may not bend time like what comes before and after but that's still here and the set pieces are thrilling. The music by David Julyan is amazing, so haunting and effective at communicating Dormer's growing confusion and exhaustion."
