,Review
0,"There's a storm coming .....Years after being villified, Batman is encouraged once again to come Gotham's aid, as it's in the grip of a group of mercenaries run by the villainous Bane.First of all, you don't have to be a superhero fan to enjoy this great movie, it truly does have the most broad appeal, there's something here for everyone to enjoy. If you liked the two preceding films, I figure you'll love this one, I'm a fan of all three, this is my personal favourite.It's a long movie, but it flies by at a canter, no single frame is wasted, it moves by at a terrific pace, it has incredible action sequences, but the story is terrific.It's really interesting to see Batman coming in from a position where he's decided and feared, he's no longer accepted as Gotham's hero and saviour.Christian Bale is the perfect Batman, and he is matched every step of the way by Tom Hardy. Hardy is off the charts as Bane, the last time we saw the character was back in The Batman and Robin film, perhaps best forgotten, here though he's an iconic villain.I can't speak highly enough of Bale and Hardy, but this is also, I think the best of Anne Hathaway, she is excellent here.A decade on, and this film is still fabulous.10/10."
1,"Not being a huge fan of superhero movies, I didn't have much expectations for Batman Begins. However viewing the 2005 Christopher Nolan production, I was pleasantly shocked. Then after my huge expectations for, ""The Dark Knight"", Christopher Nolan blew my expectations to the dust. Will the same happen with the 3rd and last film, ""The Dark Knight Rises""? Quite simply, Yes! My big expectations were once again, blown away. What a production! This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The editing, sound, score, visuals, direction and action are all top notch. The film contains a fine cast of talented actors. Christian Bale, of course still makes is a great Batman. Michael Cain is fantastic, as he always is. He gives such a powerful performance, he really ought to be considered for an Oscar nomination. Tom Hardy as Bane is utterly terrifying, at times, and completely ominous. Anne Hathaway as Catwoman/Selina Kyle is a scene stealer. She is completely engrossing. Everyone is so great, the dynamic scenes between the actors are so well done, so well written, and so well directed. The Dark Knight Rises is is emotionally riveting and amazing to view.At a running time of almost 3 hours, the film never becomes dull, which is pretty impressive. The movie's action sequences are spectacularly well created and very intense. The dialogue between the character's are intelligent and highly believable. The movie's soundtrack is terrific and really exemplify's many of the movie's scenes. Extremely well editing and sound use really develop many of the movie's action scenes, so it's not just explosions and visuals like in many other movies. Nolan creates a grand, dirty, engrossing world, and his action sequences just hum. In conclusion, this film is a gorgeous reminder that great writing and direction can enhance any movie-going experience, even superhero movies, which are usually thought of as mindless entertainment. I am wholly satisfied with Christopher Nolan's vision and thank all who worked on this film for bringing such an intricate interpretation of its very famous literary source. I cannot recommend this film anymore than I have, I just have to say everyone and anyone should see it. 10/10"""
2,"I think as a film stand point, the dark knight is a better movie that is better acted and tense the whole way through. The dark knight rises to me is a more fun and action filled movie that you can sit back a bit more. The acting is still amazing and combined with the atmosphere/visuals of the movie creates a the sense of realism that the movie has. That realism is where the intensity stems from throughout the movie, the audience believing that something like this could actually happen makes it that much scarier. Bane is also an excellent villain, in the dark knight the joker challenges Batman mentally but Bane physically challenges him which is a completely new challenge for Batman. The plot is incredible, it it starts fast and instantly brings you into the action. It then takes a step back to develop the characters further and build up the challenge Batman has to face. Once one of the many challenges was overcome by Batman in launches the viewer straight back into action for one epic final battle that lasts almost an hour......and it is GLORIOUS! Not one second was I bored, it is truly incredible how each movie in the trilogy is this good, it shouldn't be possible. I've not even mentioned the incredible soundtrack to compliment the astounding yet grounded action. I can't compliment this movie enough. If you haven't someone seen this trilogy yet....watch it, you won't be disappointed."
3,"The Dark Knight Rises capped off what is probably the best comic book related trilogy of movies of all time. Earlier in the series you had Batman Begins and The Dark Knight with this just being the perfect way to finish off the series.Since the last movie it's been 7 years and Batman has been in seclusion since then. Christian Bale returns as Batman/Bruce Wayne. A new villain has emerged that being the menacing Bane played by the great Tom Hardy.The supporting cast has returning members like Morgan Freeman, Gary Oldman and Michael Caine in addition to new members like Joseph-Gordon Levitt, Marion Cotillard and Anne Hathaway.The movie has a running time of about 2 hours and 45 minutes but it doesn't seem like it at all, the movie flows like a 2 hour movie."
4,"The Dark Knight Rises was an outstanding end to what has been the best trilogy I have ever seen.The film to me sums up what the batman stands for, the belief that someone can turn their leaf and become better, the belief that the fear that posses a person can be be destroyed or even help that person rise. what Christopher Nolan has given us in The Dark Knight Rises is not a lazy movie, it's a movie that makes the audience think because for me i had to watch the film many times until i have fully understand what has happened, and isn't that what makes a good movie when we have to watch it again and again and again.lets move on to the acting and the star man Christian Bale who again amazes me with his portrayal of Bruce Wayne, because even though we don't see a lot of the dark knight i personally am okay with that because i like seeing the real Bruce Wayne dealing with problems without the batman costume. another star man was Tom Hardy as Bane, ""scary"" yes, ""intimidating"" yes, ""witty"" yes and this list can go on. the thing that tipped it was that we can only see his eyes, to me he was only acting with his menacing eyes that just captivates any audience. Anne Hathaway as catwomen was a perfect cast as she brings the zing to the film, she's elegant and yet sexy at the same time, which was perfect casting. perfect casting all round including obviously Joseph Gordon-Levitt as Blake (robin).The Dark Knight Rises give audiences nearly three hours of pure excitement, for me i wanted it to continue for another three hours, the film was so good i had to watch the next day because it had every element of what makes a good batman film, such as the villain (bane) because he was the physical match for batman not like the other phenomenal batman films which was more psychotic villains. a good love story that doesn't bore the audience and a great ending. overall this was the ultimate ending to an ultimate trilogy which is a must watch. once again Christopher Nolan has done something special."
5,"Wow. That's all I can say. I was freaked out about this movie, because I loved the first two. Too often have I gotten into a series, then been horribly disappointed by the last entry (e.g. the hunger games. I hated the third book). That being said, even though I was nervous, I still had high expectations. And it exceeded those. The acting was excellent, consistently to the previous movies. The action was good. The story was great. The characters were diverse and interesting, and despite the longevity of this film, it wasn't too slow at all. This movie was a emotional roller coaster. The ending ( here's where the spoilers start) was extremely sad, but ironically, that was really good. One thing i was nervous about was that the ending would be a typical superhero movie ending: happy because the main bad guy dies or gets arrested or whatever. This wasn't that. Ask anyone who knows me well; I'm a very stoic guy, but this almost had me in tears. (Of course, it could have been the fact that this part came around at 3 AM and my mind wasn't working right.) Basically, an awesome film. My sole complaint was ( another spoiler here ) Bane's death. I'll give it this: it was realistic. I expected his death to be a long, drawn out sentimental thing, but in reality, his head got blown off in a flash. At first, I thought it was stupid, but it's sorta more realistic. Considering it's a superhero movie, anyway.If you're worried that this will ruin the series for you, don't be. I loved this movie. I don't know if it's as good as the Dark Knight, but if not, it's very, very close. Watch it. Do yourself a favor."
6,"After watching Dark Knight Rises I concluded that if there is anybody who can make kick-ass sequels its Nolan. The film contains everything, from brilliant acting, raw action, out of the world one-liners and amazing cinematography. It is already very hard to make a sequel for a film which was just good enough hit but to make a sequel for a film which will always be remembered as the best you have to do a very impeccable job and that is what is done in this movie. From the beginning to the end you have some very beautiful and emotional scenes like the mob fight between the police and the thugs, the rise of the Batman from the prison and the chants ""Deshi Deshi Basura Basura"" towards the end where Alfred and Bruce see each other for probably the last time and both know that he has made it."
7,"Christopher Nolan has outdone himself with this one. At 3.30 in the morning, I was tired. Just getting out of it, I've never been so awake. Perhaps what set this film apart from his other films was that it had a genuine emotional heartbeat. I felt that this was a flaw of Nolan's other films - the vision of emotion was there, but it was hollow. In this I bought it. I felt it, hero and villain alike.Christian Bale was typically brilliant as Batman, and I felt that Bruce Wayne was more heavily embraced in this final installment. Bale added emotional depth to the character - a plot point that I think went astray in The Dark Knight - picking up from the development made in Batman Begins.Tom Hardy as Bane was quite simply, terrifying. No longer a dunderhead ""enforcer"", but one of the criminal masterminds behind ""Gotham's Reckoning"", coupled with a physical dominance strong enough to send shivers down your spine.Anne Hathaway as Selina Kyle defied my expectations. Hands up who was not entirely convinced that that girl from the Princess Diaries could handle an intensely physical role like Catwoman. But here I am, hugely impressed. She added immeasurably to the value of the film.Marion Cotillard fulfilled the role of Miranda Tate admirably, though I suspect this was the most underdeveloped character of the film - though after watching, I can see why.The unsung hero of The Dark Knight Rises is Michael Caine as Alfred. A heartfelt performance that helps drive the emotional content of the film, helping Nolan sell his most well-rounded film to date. Caine's performance in both presence and absence.Special mention goes to Joseph Gordon Levitt, who is consistently proving himself to be a big player in the Hollywood game. His role as officer Blake felt like there could've been more, but it may just have come all a bit much. It was a great performance, and Levitt sunk his teeth into role. If you can, go see this in IMAX. If any film was to sell the format to skeptics, The Dark Knight Rises would be IT. I'm happy Nolan stuck to his guns and shot in 2D. 3D would have been unnecessary. I suppose at this point, I have to turn my focus on Nolan. If he ever reads this... aspiring filmmaker to filmmaker, I've never been so envious, jealous in all my life. It's a film that leaves me floundering, wondering what I could possibly do to get anywhere near this ballpark. Well done. I think an Oscar Nomination is in order.From here, I'm not sure what to expect of the future. Does our imagination carry us forward, or do the studios? Time will tell.10/10"
8,"I had the honor of watching TDKR during a screening and was completely blown away! Christopher Nolan's third film in his Batman trilogy doesn't disappoint. The movie is incredibly well made, its huge production is quite breathtaking to view. This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The movie's score high-lites many of its incredible scenes, and at times, it takes your breath away.The film featured excellent performances, by all the cast. Christian Bale, as always is great as Batman. Anne Hathaway was completely engrossing, she became ""Catwoman"", just like Michele Pfeiffer did, although their interpretations were very different, both were equally effective. Tom Hardy was the main villain ""Bane"" completely shattered my expectations. One of the best superhero movie villains, I've ever seen. The terror caused by him, is completely believable and quite menacing. Marlion Cotilliard, Michael Cane, Gary Oldman, and others all did well in their respective roles. Now I know most will miss Heath Ledger as the Joker.(I know I do) I hope people don't compare Tom Hardy's performance to Heath Ledger's, its completely unfair and the two characters are very different. Just read the comics.The colossal size of the film is a spectacle to behold, but surprisingly you don't get lost with all the explosions and extravagant action scenes, like in other films,(AKA Transformers, or POTC.) If one were to gripe, and I suppose there will never be a film made that one cannot find a point at which to grip, it is painfully long running time here. I found myself more worried about the pain in my posterior than the emotional final minutes after almost 3 hours that I had spent in a cramped seat, but that's just how I am. However the ending is just fantastic, so emotional and bring the trilogy to a very satisfying end.Sorry if I'm being all fan-boyish and kissing this movie's behind, but I really admire it. It may not be among my personal favorites but generally this seems to be the movie event of this year. As a film though, this is amazing. A true lasting legacy in superhero story telling and summer-blockbusters."
9,"The best thing about this movie is how satisfying it is. It doesn't leave you frustrated or confused. You can't really complain that it didn't explore certain ideas or follow through. By deciding to have an official ending to this trilogy's story, the themes surrounding Batman are very fresh. We don't know where he'll end up. It's not the same old thing about whether he can continue to be Batman or not, which was already getting repetitive in Spider-man 2. The conclusions are not as important as the feelings they invoke as they come about. Nolan is especially good at capturing the complete tension of actually not knowing what will happen and deeply questioning what you *want* to happen and why.This movie is bigger than the previous two, far more ambitious. There are no obvious annoying weaknesses that usually come with films in general, especially blockbuster action movies. All of Nolan's movies have deep psychological themes and this takes those in another new direction. I thought Inception was hugely original and insightful about the way people think. That level of abstraction and depth is present in this film. Bane bursts into it, his reputation is quickly established. Nolan uses people's expectations and anticipation to the fullest. We are left to wonder about what has happened in the 8 years since the events of The Dark Knight. Why have the characters become the way they are now?In the latter half, it does seem like the movie is trying to pull off so many different plot points and connections, but they all work. The cast is very large and impressive. You don't see ""good acting"". You see fascinating characters. They're just playing their part in the grand story that's being crafted. There are many unfamiliar faces but they all have a strange, unique look to them. We often see a person's flaws and previous decisions coming back to haunt them. They find out the hard way what mistakes they have made. Where their limits are. Where they lose control.The score is almost tribal, very raw and energetic. You don't get much chance to pay attention to it but many parts of the movie are pounding with excitement. There are countless quotable lines and disturbing slices of dialogue. They cut deep. The Joker was a great character and this is a very different movie but the themes are just as dark, only perhaps indirectly. Underneath, it's very sinister. Writing and efficiency appear to be among Nolan's greatest strengths. The story has many layers that interweave and apparently they came in under budget.Perhaps the most important thing about Catwoman is that she's completely believable. When she beats up men, you don't roll your eyes. She's feminine and powerful in her own way. She fits into the world and we completely understand her motivations. She doesn't have a huge role but a very important one.I didn't find myself moved but maybe I'm too cynical. I was more affected psychologically. Curious about humanity and all the different sides of it you see in this movie. It goes to many extremes. I felt humbled by my complete lack of life experience. What do I know about anything? How could I possibly understand half of the characters? I haven't been through anything or achieved anything compared to most of them. Michael Caine gets a bigger role this time. He was always critical but this time he's very much the emotional core.I thought Christian Bale was overlooked in The Dark Knight especially. The movies hinge on him. Bruce Wayne's just a man but also incredibly inspirational. Bale's famous for completely committing to his roles and it pays off. Tom Hardy is impressive as Bane but I suppose that's no surprise. The rest of the leads are similarly awesome. There are many references to the earlier films. Very few questions are left unanswered. It's always nice when film-makers really think it through and make an actual decision and get all the details right.So anyway, I'll miss Batman (since the trilogy has ended) but couldn't have hoped for a better, more epic and sincere finale to his story."
