page,section_title,text
Christopher_Nolan,Early life,"Christopher Edward Nolan was born on 30 July 1970, in Westminster, London. His father, Brendan James Nolan, was a British advertising executive of Irish descent who worked as a creative director. His mother, Christina Jensen, was an American flight attendant from Evanston, Illinois; she would later work as a teacher of English. He has an elder brother, Matthew, and a younger brother, Jonathan, also a filmmaker. The three brothers were raised Catholic in Highgate and would spend their summers in Evanston. Nolan holds both UK and US citizenship.
Growing up, Nolan was particularly influenced by the work of Sir Ridley Scott and the science fiction films 2001: A Space Odyssey (1968) and Star Wars (1977). He would repeatedly watch the latter film and extensively research its making. Nolan began making films at the age of seven, borrowing his father's Super 8 camera and shooting short films with his action figures. These films included a stop motion animation homage to Star Wars called Space Wars. He cast his brother Jonathan and built sets from ""clay, flour, egg boxes and toilet rolls"". His uncle, who had worked at NASA building guidance systems for the Apollo rockets, sent him some launch footage: ""I re-filmed them off the screen and cut them in, thinking no-one would notice"", Nolan later remarked. From the age of 11, he aspired to be a professional filmmaker. Between 1981 and 1983, Nolan enrolled at Barrow Hills, a Catholic prep school in Witley, Surrey. In his teenage years, Nolan started making films with Adrien and Roko Belic. Nolan and Roko co-directed the surreal 8 mm Tarantella (1989), which was shown on Image Union, an independent film and video showcase on the Public Broadcasting Service. After a fan posted a copy of Tarantella online, in 2021, Nolan's production company filed a copyright infringement claim, to have the film removed.Nolan was educated at Haileybury and Imperial Service College, an independent school in Hertford Heath, Hertfordshire, and later studied English literature at University College London (UCL). Opting out of a traditional film education, he pursued ""a degree in something unrelated"", which his father suggested ""gives a different take on things"". He chose UCL specifically for its filmmaking facilities, which comprised a Steenbeck editing suite and 16 mm film cameras. Nolan was president of the Union's Film Society, and with Emma Thomas (his girlfriend and future wife) he screened feature films in 35mm during the school year and used the money earned to produce 16 mm films over the summers."
Christopher_Nolan,Personal life and public image,"Nolan is married to Emma Thomas, whom he met at University College London when he was 19. She has worked as a producer on all of his films since 1997. The couple have four children and reside in Los Angeles.Nolan prefers to maintain a certain level of mystery about his work. Refusing to discuss his personal life, he feels that too much biographical information about a filmmaker detracts from the experience of his audiences. ""I actually don't want people to have me in mind at all when they're watching the films."""
Christopher_Nolan,Filmmaking style,"Nolan's films are largely centred in metaphysical themes, exploring the concepts of time, memory and personal identity. His work is characterised by mathematically inspired ideas and images, unconventional narrative structures, materialistic perspectives, and evocative use of music and sound. Filmmaker Guillermo del Toro called Nolan ""an emotional mathematician"". BBC's arts editor Will Gompertz described him as ""an art house auteur making intellectually ambitious blockbuster movies that can leave your pulse racing and your head spinning"". Joseph Bevan wrote, ""His films allow arthouse regulars to enjoy superhero flicks and multiplex crowds to engage with labyrinthine plot conceits."" Nolan views himself as ""an indie filmmaker working inside the studio system"".

In the sixteen-essay book The Philosophy of Christopher Nolan, professional philosophers and writers analysed Nolan's work; they identified themes of self-destruction, the nature and value of the truth, and the political mindset of the hero and villain, among others. Robbie B. H. Goh, a professor of English literature, described Nolan as a ""philosophical filmmaker"" who includes philosophical ideas—existentialism, morality, epistemology and the distinction between appearance and reality—in films that frequently portray suspense, action and violence. Goh appreciated his ability to incorporate such themes in films that possess ""elements of the Hollywood blockbuster""—which help keep the audiences engaged—but simultaneously remain ""more thoughtful and self-reflexive than the typical consumerist action film"". He further wrote that Nolan's body of work reflect ""a heterogeneity of conditions of products"" extending from low-budget films to lucrative blockbusters, ""a wide range of genres and settings"" and ""a diversity of styles that trumpet his versatility"".David Bordwell, a film theorist, wrote that Nolan has been able to blend his ""experimental impulses"" with the demands of mainstream entertainment, describing his oeuvre as ""experiments with cinematic time by means of techniques of subjective viewpoint and crosscutting"". Nolan's use of practical, in-camera effects, miniatures and models, as well as shooting on celluloid film, has been highly influential in early 21st century cinema. IndieWire wrote in 2019 that, Nolan ""kept a viable alternate model of big-budget filmmaking alive"", in an era where blockbuster filmmaking has become ""a largely computer-generated art form"". Because of Nolan's deep involvement in the technical facet of his films, Stuart Joy described him as a ""complete filmmaker"", who ""oversees all aspects of production while also managing cultural and industrial factors outside of the text""."
Christopher_Nolan,Recognition,"Nolan has made some of the most influential and popular films of his time. Many of his films have been regarded by critics as among the best of their respective decades, and according to The Wall Street Journal, his ""ability to combine box-office success with artistic ambition has given him an extraordinary amount of clout in the industry"". His films have earned more than $6 billion. Nolan's films Memento and The Dark Knight have been selected by the US Library of Congress to be preserved in the National Film Registry for being ""culturally, historically or aesthetically"" significant. These films and Inception appeared in BBC's 100 Greatest Films of the 21st Century and The Hollywood Reporter's poll of best films ever made. In 2017, The Dark Knight, Inception and Interstellar featured in Empire magazine's poll of ""The 100 Greatest Movies"". In 2018, The Hollywood Reporter listed Nolan as one of the 100 most powerful people in entertainment and described him as a ""franchise unto himself"". Parade ranked Nolan number eight in its 2022 list of 75 Best Movie Directors of All Time.
Nolan's work has been as ""intensely embraced, analysed and debated by ordinary film fans as by critics and film academics"". Calling him ""a persuasively inventive storyteller"", Geoff Andrew of the British Film Institute named Nolan one of the few contemporary filmmakers producing highly personal films within the Hollywood mainstream. Andrew wrote that Nolan's films are ""not so much [notable] for their considerable technical virtuosity and visual flair as for their brilliant narrative ingenuity and their unusually adult interest in complex philosophical questions"". David Bordwell observed that Nolan is ""considered one of the most accomplished living filmmakers"", citing his ability to turn genre movies into both art and event films, as well as his box office numbers, critical acclaim and popularity among cinemagoers. In 2008, Philip French deemed Nolan ""the first major talent to emerge this century"". Mark Kermode complimented Nolan for bringing ""the discipline and ethics of art-house independent moviemaking and apply[ing] them to Hollywood blockbusters. He's living proof that you don't have to appeal to the lowest common denominator to be profitable"". The Observer's Ryan Gilbey described Nolan as a ""skillful, stylish storyteller, capable of combining the spectacle of Spielberg with the intellectual intricacy of Nicolas Roeg or Alain Resnais"". Mark Cousins applauded Nolan for embracing big ideas, ""Hollywood filmmakers generally shy away from ideas—but not Christopher Nolan"". Scott Foundas of Variety declared Nolan ""the premier big-canvas storyteller of his generation"", and Justin Chang of the Los Angeles Times called him ""the great proceduralist of 21st century blockbuster filmmaking, a lover of nuts-and-bolts minutiae"".Nolan has been praised by many of his contemporaries, and his work has influenced them. Kenneth Branagh called Nolan's approach to large-scale filmmaking ""unique in modern cinema"", adding, ""regardless of how popular his movies become, he remains an artist and an auteur. I think for that reason he has become a heroic figure for both the audience and the people working behind the camera."" Michael Mann complimented Nolan for his ""singular vision"" and credited with ""invent[ing] the post-heroic superhero"". Nicolas Roeg said of Nolan, ""People talk about 'commercial art' and the term is usually self-negating; Nolan works in the commercial arena and yet there's something very poetic about his work."" Martin Scorsese identified Nolan as a filmmaker creating ""beautifully made films on a big scale"".Damien Chazelle lauded Nolan for his ability ""to make the most seemingly impersonal projects—superhero epics, deep-space mind-benders—feel deeply personal"". Discussing the difference between art films and big studio blockbusters, Steven Spielberg referred to Nolan's Dark Knight series as an example of both; he has described Memento and Inception as ""masterworks"". Denis Villeneuve was impressed by Nolan's ability ""to keep his identity and create his own universe in that large scope ... To bring intellectual concepts and to bring them in that scope to the screen right now—it's very rare. Every movie that he comes out with, I have more admiration for his work."" James Cameron expressed disappointment that Nolan was not nominated for an Academy Award as Best Director for Inception, calling it ""the most astounding piece of film creation and direction of the year, hands down""."
Christopher_Nolan,Awards and honours,"Nolan has been nominated for eight Academy Awards (winning two), eight British Academy Film Awards (winning two) and six Golden Globe Awards (winning one). Nolan was named an Honorary Fellow of UCL in 2006, and conferred an honorary doctorate in literature in 2017. From 2011 to 2014, he appeared in Forbes Celebrity 100 list based on his income and popularity. In 2012, he became the youngest director to receive a hand-and-footprint ceremony at Grauman's Chinese Theatre in Los Angeles. Nolan appeared in Time's 100 most influential people in the world in 2015. He was appointed Commander of the Order of the British Empire in the 2019 New Year Honours for services to film. In 2023, he was awarded the Federation of American Scientists' Public Service Award for his depiction of scientists in his film Oppenheimer. In 2024, Nolan received the British Film Institute Fellowship in recognition of his ""extraordinary achievements and enormous contribution to cinema,"" and the Honorary César award from the Académie des Arts et Techniques du Cinéma for ""continually push[ing] the boundaries of storytelling."" In March 2024, it was announced that he would receive a knighthood from King Charles III for his contributions to film, while his wife would be honoured with damehood."
Christopher_Nolan,Summary,"Sir Christopher Edward Nolan  (born 30 July 1970) is a British and American filmmaker. Known for his Hollywood blockbusters with complex storytelling, he is considered a leading filmmaker of the 21st century. Nolan's films have earned over $6 billion worldwide, making him the seventh-highest-grossing film director of all time. His accolades include two Academy Awards and two British Academy Film Awards. Nolan was appointed as a Commander of the Order of the British Empire in 2019, and received a knighthood in 2024 for his contributions to film.
Nolan developed an interest in filmmaking from a young age. After studying English literature at University College London, he made several short films before his feature film debut with Following (1998). Nolan gained international recognition with his second film, Memento (2000), and transitioned into studio filmmaking with Insomnia (2002). He became a high-profile director with The Dark Knight trilogy (2005–2012), and found further success with The Prestige (2006), Inception (2010), Interstellar (2014), and Dunkirk (2017). After the release of Tenet (2020), Nolan parted ways with longtime distributor Warner Bros. Pictures, and signed with Universal Pictures for the biographical thriller Oppenheimer (2023), which won him Academy Awards for Best Director and Best Picture.
Nolan's work regularly features in the listings of best films of their respective decades. Infused with a metaphysical outlook, his films thematise epistemology, existentialism, ethics, the construction of time, and the malleable nature of memory and personal identity. They feature mathematically inspired images and concepts, unconventional narrative structures, practical special effects, experimental soundscapes, large-format film photography, and materialistic perspectives. He has co-written several of his films with his brother, Jonathan, and runs the production company Syncopy Inc. with his wife, Emma Thomas."
Following,Plot,"A struggling, unemployed young writer (credited as ""The Young Man"") takes to following strangers around the streets of London, ostensibly to find inspiration for his first novel. Initially, he sets strict rules for himself regarding whom he should follow and for how long, but he soon discards them as he focuses on a well-groomed, handsome man in a dark suit. The man in the suit, having noticed he is being followed, quickly confronts the Young Man and introduces himself as ""Cobb"". Cobb reveals he is a serial burglar and invites the Young Man (who tells Cobb his name is ""Bill"") to accompany him on burglaries. The material gains from these crimes seem to be of secondary importance to Cobb. He takes pleasure in rifling through the personal items in his targets' flats and drinking their wine. He explains his true passion is using the shock of robbery, and violation of property, to make his victims re-examine their lives. He sums up his attitude thus: ""You take it away, and show them what they had.""
The Young Man is thrilled by Cobb's lifestyle. He attempts break-ins of his own, as Cobb encourages and guides him. At Cobb's suggestion, he alters his appearance, cutting his hair short and wearing a dark suit. He assumes the name ""Daniel Lloyd"", based on the credit card Cobb gives to him, and begins to pursue a relationship with a blonde woman whose flat he and Cobb burgled. The Blonde turns out to be the girlfriend of a small-time gangster (known only as the ""Bald Guy""), whom she broke up with after he murdered a man in her flat. Soon, the Blonde confides that the Bald Guy is blackmailing her with incriminating photographs. The Young Man breaks into the Bald Guy's safe, but is caught in the act by an unidentified man. He then bludgeons the man with a claw hammer and flees with the Bald Guy's money and photos. Upon returning to his flat, he finds the photos are innocuous modeling shots.
Confronting the Blonde, the Young Man learns that she and Cobb have been working together, to manipulate him into mimicking Cobb's burglary methods. She tells him that Cobb had recently discovered a murdered woman's body during one of his burglaries, and is attempting to deflect suspicion from himself by making it appear as though multiple burglars share his MO.
The Young Man leaves to turn himself in to the police. The Blonde reports her success to Cobb, who then reveals he actually works for the Bald Guy. The story about the murdered woman was part of a plot to deceive both the Blonde and the Young Man: The Blonde has been blackmailing the Bald Guy with evidence from the murder he committed in her flat, and he wants her murdered in a way that cannot be connected to him. Cobb bludgeons the Blonde to death with the same claw hammer the Young Man used during the burglary of the Bald Guy's safe and leaves it at the scene. The police, checking out the Young Man's story, find the Blonde murdered and the claw hammer with his fingerprints on it. The Young Man is thus implicated for the murder of the Blonde. Cobb, meanwhile, vanishes into a crowd."
Following,Production,"Following was written, directed, filmed, and co-produced by Christopher Nolan. It was filmed in London on black-and-white 16mm film stock. Nolan used a non-linear plot structure for the film, a device he again used in Memento, Batman Begins, The Prestige, Dunkirk, and Oppenheimer. This type of storytelling, he says, reflected the audience's inherent uncertainty about characters in film noir:

In a compelling story of this genre we are continually being asked to rethink our assessment of the relationship between the various characters, and I decided to structure my story in such a way as to emphasize the audience's incomplete understanding of each new scene as it is first presented.
Following was written and planned to be as inexpensive to produce as possible, but Nolan has described the production of the film as ""extreme"", even for a low-budget shoot. With little money, limited equipment, and a cast and crew who were all in full-time employment on weekdays, the production took a full year to complete.To conserve expensive film stock, every scene in the film was rehearsed extensively to ensure that the first or second take could be used in the final edit. Filming took place on Saturdays for 3-4 months; Nolan shot about fifteen minutes of footage each day. This time frame also moderated the cost of film stock and allowed him to pay for it out of his salary. For the most part, Nolan filmed without professional film lighting equipment, largely employing available light. This was made easier by the decision to use 16 mm black and white film, since that eliminated the need to match light colour. He also used the homes of his friends and family as locations."
Following,Release,"A Blu-ray and DVD restoration of the film with a new 5.1 sound mix was released by The Criterion Collection for Region A on 11 December 2012. Both the Blu-ray and DVD include a commentary by and an interview with director Christopher Nolan, a chronological edit of the film (also 70 min.), a side-by-side comparison between three scenes of the film and the shooting script, Nolan's 1997 short film Doodlebug, and both the theatrical and re-release trailers. Each edition also has a leaflet which includes an essay by film critic Scott Foundas, titled ""Nolan Begins"". Exclusive to the Blu-ray is an uncompressed monaural soundtrack to the film."
Following,Summary,"Following is a 1998 independent neo-noir crime thriller film written, produced, directed, photographed, and edited by Christopher Nolan in his feature film directorial debut. It tells the story of a young man who follows strangers around the streets of London, and is drawn into a criminal underworld when he fails to keep his distance.
As Nolan's debut feature, it was designed to be as inexpensive as possible to make. Scenes were heavily rehearsed so just one or two takes were needed to economise on 16mm film stock, the production's greatest expense, and for which Nolan was paying from his salary. Unable to afford expensive professional lighting equipment, Nolan mostly used available light. Along with writing, directing, and photographing the film, Nolan helped in editing and production.
The film was released by The Criterion Collection on both Blu-ray and DVD in North America on 11 December 2012."
